"","strategy","referred","cin23_2rounds_5","cxca_2rounds_5","cin23_2rounds_10","cxca_2rounds_10"
"1"," 1","100000","22126","674","22126","674"
"2"," 2"," 80984","22073","675","22072","676"
"3"," 3"," 79092","21967","676","21959","684"
"4"," 4"," 77862","22073","675","22072","676"
"5"," 5"," 75970","21967","676","21959","684"
"6"," 6"," 60927","21967","676","21959","684"
"7"," 7"," 59035","21861","677","21846","692"
"8"," 8"," 57805","21967","676","21959","684"
"9"," 9"," 55913","21861","677","21846","692"
"10","10"," 55156","21861","677","21846","692"
"11","11"," 53264","21755","678","21733","700"
"12","12"," 41911","21470","700","21437","733"
"13","13"," 40019","21364","701","21324","741"
"14","14"," 38789","21470","700","21437","733"
"15","15"," 36897","21364","701","21324","741"
"16","16"," 36140","21364","701","21324","741"
"17","17"," 34248","21258","702","21211","749"
"18","18"," 33586","21304","709","21256","756"
"19","19"," 31693","21198","710","21143","764"
