"","strategy","0","1","2","3","4","5","6","7","8","9","10"
"1",1,"0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)"
"2",2,"97.0 (83.1, 109.5)","97.0 (83.0, 109.5)","96.9 (83.0, 109.4)","96.8 (82.9, 109.1)","96.5 (82.8, 108.5)","96.1 (82.3, 108.1)","95.5 (81.8, 107.5)","94.7 (81.0, 106.8)","93.6 (79.6, 105.9)","92.4 (76.7, 105.0)","90.9 (72.3, 104.7)"
"3",3,"119.2 (97.7, 137.9)","119.0 (97.5, 137.8)","118.7 (97.2, 137.6)","118.0 (95.8, 137.1)","116.6 (93.8, 136.4)","114.5 (89.7, 134.4)","111.3 (83.4, 131.5)","107.0 (76.1, 129.5)","101.5 (64.2, 127.0)","95.0 (48.3, 124.4)","87.7 (32.3, 122.2)"
"4",4,"113.2 (98.9, 126.3)","113.2 (98.9, 126.3)","113.1 (98.8, 126.2)","113.0 (98.7, 126.1)","112.7 (98.5, 125.8)","112.3 (98.1, 125.3)","111.7 (97.3, 124.6)","110.9 (96.7, 123.7)","109.8 (94.7, 123.0)","108.5 (92.2, 122.5)","107.1 (88.6, 122.3)"
"5",5,"135.4 (114.0, 154.1)","135.2 (113.9, 154.0)","134.9 (113.4, 153.9)","134.2 (112.3, 153.6)","132.8 (110.7, 152.7)","130.7 (107.2, 151.0)","127.5 (101.2, 148.3)","123.2 (92.3, 146.1)","117.7 (79.4, 143.8)","111.2 (64.8, 140.9)","103.9 (48.5, 138.2)"
"6",6,"191.6 (169.4, 212.7)","191.5 (169.3, 212.7)","191.1 (169.2, 212.4)","190.4 (167.9, 211.7)","189.1 (165.2, 210.8)","186.9 (161.5, 209.4)","183.7 (157.2, 207.8)","179.4 (150.6, 204.8)","174.0 (140.4, 202.5)","167.5 (127.7, 199.0)","160.2 (112.0, 197.1)"
"7",7,"213.7 (185.4, 239.6)","213.5 (185.2, 239.5)","212.9 (184.5, 239.1)","211.6 (183.7, 238.3)","209.2 (181.2, 236.6)","205.3 (174.5, 234.3)","199.6 (165.9, 230.3)","191.7 (152.0, 225.2)","181.9 (133.8, 219.8)","170.2 (113.3, 213.5)","156.9 (88.0, 208.9)"
"8",8,"207.8 (185.4, 230.3)","207.7 (185.2, 230.2)","207.3 (184.7, 230.0)","206.6 (183.3, 229.6)","205.3 (181.5, 228.4)","203.1 (177.6, 226.8)","199.9 (172.6, 224.1)","195.6 (166.2, 222.2)","190.2 (156.3, 219.9)","183.7 (143.5, 217.2)","176.3 (127.8, 213.5)"
"9",9,"229.9 (202.3, 257.9)","229.7 (202.1, 257.6)","229.1 (201.5, 257.2)","227.8 (200.6, 255.8)","225.4 (197.3, 254.3)","221.5 (192.0, 251.5)","215.7 (182.8, 247.6)","207.9 (167.8, 241.8)","198.1 (149.6, 237.6)","186.4 (129.5, 232.1)","173.1 (104.7, 225.0)"
"10",10,"217.4 (190.3, 243.9)","217.1 (189.9, 243.7)","216.5 (189.1, 243.2)","215.2 (186.6, 242.1)","212.8 (183.2, 240.3)","208.9 (177.4, 237.3)","203.2 (169.6, 232.7)","195.4 (155.5, 227.4)","185.5 (138.3, 222.1)","173.8 (115.3, 215.3)","160.6 (88.7, 211.2)"
"11",11,"239.5 (205.0, 268.7)","239.2 (204.5, 268.4)","238.3 (203.2, 267.6)","236.4 (200.6, 266.1)","233.0 (196.0, 263.6)","227.3 (188.5, 260.0)","219.0 (177.4, 255.2)","207.7 (161.4, 247.0)","193.4 (138.4, 237.4)","176.5 (113.2, 227.7)","157.4 (80.9, 217.7)"
"12",12,"209.1 (131.2, 270.9)","199.8 (117.7, 264.4)","187.9 (101.4, 256.6)","173.6 (80.7, 246.8)","157.4 (55.3, 236.0)","139.5 (28.7, 223.3)","120.0 (-0.4, 211.2)","99.2 (-32.8, 198.5)","77.4 (-64.5, 185.8)","54.7 (-99.8, 171.2)","31.5 (-138.2, 159.4)"
